eem_id,document,cat_lev1,cat_lev2,eem_name
1237,BSYNC,Advanced Metering Systems,0,Install advanced metering systems
1238,BSYNC,Advanced Metering Systems,0,Clean and/or repair
1239,BSYNC,Advanced Metering Systems,0,Implement training and/or documentation
1240,BSYNC,Advanced Metering Systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1241,BSYNC,Advanced Metering Systems,0,Other
1242,BSYNC,Boiler Plant Improvements,0,Replace boiler
1243,BSYNC,Boiler Plant Improvements,0,Replace burner
1244,BSYNC,Boiler Plant Improvements,0,Decentralize boiler
1245,BSYNC,Boiler Plant Improvements,0,Insulate boiler room
1246,BSYNC,Boiler Plant Improvements,0,Add energy recovery
1247,BSYNC,Boiler Plant Improvements,0,Convert gas-fired unit to boiler loop
1248,BSYNC,Boiler Plant Improvements,0,Convert system from steam to hot water
1249,BSYNC,Boiler Plant Improvements,0,Clean and/or repair
1250,BSYNC,Boiler Plant Improvements,0,Implement training and/or documentation
1251,BSYNC,Boiler Plant Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing"
1252,BSYNC,Boiler Plant Improvements,0,Convert to Cleaner Fuels
1253,BSYNC,Boiler Plant Improvements,0,Other
1254,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add heat recovery
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS
1256,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade controls
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC
1258,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,"Upgrade operating protocols, calibration, and/or sequencing"
1259,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Other
1260,BSYNC,Building Envelope Modifications,0,Air seal envelope
1261,BSYNC,Building Envelope Modifications,0,Increase wall insulation
1262,BSYNC,Building Envelope Modifications,0,Insulate thermal bypasses
1263,BSYNC,Building Envelope Modifications,0,Increase ceiling insulation
1264,BSYNC,Building Envelope Modifications,0,Increase roof insulation
1265,BSYNC,Building Envelope Modifications,0,Insulate attic hatch / stair box
1266,BSYNC,Building Envelope Modifications,0,Add attic/knee wall insulation
1267,BSYNC,Building Envelope Modifications,0,Install cool/green roof
1268,BSYNC,Building Envelope Modifications,0,Add shading devices
1269,BSYNC,Building Envelope Modifications,0,Add window films
1270,BSYNC,Building Envelope Modifications,0,Install or replace solar screens
1271,BSYNC,Building Envelope Modifications,0,Replace glazing
1272,BSYNC,Building Envelope Modifications,0,Replace windows
1273,BSYNC,Building Envelope Modifications,0,Increase floor insulation
1274,BSYNC,Building Envelope Modifications,0,Insulate foundation
1275,BSYNC,Building Envelope Modifications,0,Clean and/or repair
1276,BSYNC,Building Envelope Modifications,0,Close elevator and/or stairwell shaft vents
1277,BSYNC,Building Envelope Modifications,0,Other
1278,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add pipe insulation
1279,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair and/or replace steam traps
1280,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Retrofit and replace chiller plant pumping, piping, and controls"
1281,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair or replace existing condensate return systems or install new condensate return systems
1282,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add recirculating pumps
1283,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace or upgrade water heater
1284,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add energy recovery
1285,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install solar hot water system
1286,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Separate SHW from heating
