eem_id,document,cat_lev1,cat_lev2,eem_name,uni_code_manual
10,1651RP,Daylighting,Passive,High ceilings,C3030
24,1651RP,Daylighting,Passive,Use of interzone luminous ceilings,C3030
35,1651RP,Envelope,Fenestration,Heat absorbing blinds,E2010
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,E2010
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration,B
69,1651RP,Envelope,Opaque,Dynamic Wall Insulation,B2010
73,1651RP,Envelope,Opaque,High-speed doors between heated/cooled building space and unconditioned space in the areas with high-traffic,C1020
80,1651RP,Envelope,Opaque,large reservoirs of water for thermal mass within zone,B
120,1651RP,HVAC,Control,Optimize multiple chiller sequencing.,D3060
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,D3060
132,1651RP,HVAC,Control,Thermostat setback/setup,D3060
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,D3040
173,1651RP,HVAC,Distribution Pressure Drop,High Performance Diffusers,D3040
179,1651RP,HVAC,Distribution Pressure Drop,Piping Connectors for Reduced Static Pressure,D3040
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners,D3020
209,1651RP,HVAC,System,Absorption chillers,D3030
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps,D3050
304,1651RP,HVAC,Ventilation,Hybrid/Mixed Mode Ventilation,B2020
342,1651RP,Internal Load,Equipment,High performance motors,X0000
501,BEQ,HVAC System,0,"Where cooling is provided by multiple units, maintain proper sequencing to achieve maximum efficiency while meeting required load.",D3060
537,BEQ,HVAC System,0,"In humid climates, supply air with a temperature above the dew point to prevent condensation on cold surfaces.",D3060
562,BEQ,HVAC System,0,Reduce operating hours of simultaneously heating and cooling systems.,X0000
585,BEQ,Refrigeration,0,Install high specific-efficiency (Btu/W) condensers. E,E1090
590,BEQ,Refrigeration,0,Calibrate pressure transducers to optimize suction pressure.,E1090
633,BEQ,Energy Generation,0,Reduce overpumping on chilled-water systems.,D3040
683,BEQ,Other EEMs,0,"Reduce demand charges through load shedding, operational changes, and procedural changes.",D5010
698,STD100,BUILDING ENVELOPE,Walls,Consider converting internal courtyard into an atrium to reduce external wall surface.,B2010
781,STD100,HVAC SYSTEMS,Building Automation and Control Systems,Adjust housekeeping schedule to minimize HVAC use.,X0000
797,STD100,REFRIGERATION,Reduce Loads,Replace lights with LED strip lights with motion sensors in refrigerated cases and spaces.,E1090
808,STD100,REFRIGERATION,Improve System Operating Efficiency,Install mechanical subcooling,E1090
823,STD100,WATER SYSTEMS,Domestic Hot-Water Systems,"Install gray water heat recovery from showers, dishwashers, and washing machines.",D2020 
897,STD100,NONRESIDENTIAL LIGHTING,Lighting Controls,"Reduce operating hours for lighting systems through the use of controls and building management systems. This includes the use of shut-off controls, such as time switches.",D5020
