eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_level_1,uni_level_2,uni_level_3
1237,BSYNC,Advanced Metering Systems,0,Install advanced metering systems,Meter,Element,D5010,SERVICES,Electrical,Electrical Service & Distribution
1242,BSYNC,Boiler Plant Improvements,0,Replace boiler,Boiler,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1243,BSYNC,Boiler Plant Improvements,0,Replace burner,Burner,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1244,BSYNC,Boiler Plant Improvements,0,Decentralize boiler,Boiler,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1245,BSYNC,Boiler Plant Improvements,0,Insulate boiler room,Boiler,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1246,BSYNC,Boiler Plant Improvements,0,Add energy recovery,Energy recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1247,BSYNC,Boiler Plant Improvements,0,Convert gas-fired unit to boiler loop,Boiler,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1248,BSYNC,Boiler Plant Improvements,0,Convert system from steam to hot water,Steam,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1248,BSYNC,Boiler Plant Improvements,0,Convert system from steam to hot water,Hot water,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1254,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add heat recovery,Heat recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,BAS,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,EMS,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,EMCS,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1256,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,Pneumatic,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,DDC,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
1260,BSYNC,Building Envelope Modifications,0,Air seal envelope,envelope,Element,B,SHELL,Unassigned,Unassigned
1261,BSYNC,Building Envelope Modifications,0,Increase wall insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1263,BSYNC,Building Envelope Modifications,0,Increase ceiling insulation,ceiling,Element,C3030,INTERIORS,Interior Finishes,Ceiling Finishes
1263,BSYNC,Building Envelope Modifications,0,Increase ceiling insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1264,BSYNC,Building Envelope Modifications,0,Increase roof insulation,Roof,Element,B3010,SHELL,Roofing,Roof Coverings
1264,BSYNC,Building Envelope Modifications,0,Increase roof insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1266,BSYNC,Building Envelope Modifications,0,Add attic/knee wall insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1267,BSYNC,Building Envelope Modifications,0,Install cool/green roof,Green roof,Descriptor,B3010,SHELL,Roofing,Roof Coverings
1267,BSYNC,Building Envelope Modifications,0,Install cool/green roof,Roof,Element,B3010,SHELL,Roofing,Roof Coverings
1269,BSYNC,Building Envelope Modifications,0,Add window films,Wind,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1270,BSYNC,Building Envelope Modifications,0,Install or replace solar screens,screen,Element,B2010,SHELL,Exterior Enclosure,Exterior Walls
1272,BSYNC,Building Envelope Modifications,0,Replace windows,Wind,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1273,BSYNC,Building Envelope Modifications,0,Increase floor insulation,Floor,Element,B1010,SHELL,Superstructure,Floor Construction
1273,BSYNC,Building Envelope Modifications,0,Increase floor insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1276,BSYNC,Building Envelope Modifications,0,Close elevator and/or stairwell shaft vents,Elevator,Element,D1010,SERVICES,Conveying,Elevators & Lifts
1278,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add pipe insulation,Pipe,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1278,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add pipe insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1279,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair and/or replace steam traps,Steam,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1280,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Retrofit and replace chiller plant pumping, piping, and controls",Chiller,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1280,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Retrofit and replace chiller plant pumping, piping, and controls",Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1280,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Retrofit and replace chiller plant pumping, piping, and controls",controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1281,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair or replace existing condensate return systems or install new condensate return systems,Return,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
1282,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add recirculating pumps,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1283,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace or upgrade water heater,Water heater,Element,D2020,SERVICES,Plumbing,Domestic Water Distribution
1284,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add energy recovery,Energy recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1285,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install solar hot water system,Hot water,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1286,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Separate SHW from heating,SHW,Element,D2020,SERVICES,Plumbing,Domestic Water Distribution
1287,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with higher efficiency pump,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1288,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with variable speed pump,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1290,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace steam traps with orifice plates,Steam,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1291,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install steam condensate heat recovery,Steam,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1291,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install steam condensate heat recovery,Heat recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1296,BSYNC,Chiller Plant Improvements,0,Add energy recovery,Energy recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,VSD,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,Centrifugal,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers,Chiller,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1298,BSYNC,Chiller Plant Improvements,0,Replace chiller,Chiller,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1300,BSYNC,Chiller Plant Improvements,0,Add or repair economizer cycle,Economizer,Element,D3040,SERVICES,HVAC,Distribution Systems
1301,BSYNC,Chiller Plant Improvements,0,Add or replace cooling tower,Cooling tower,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1306,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Add elevator regenerative drives,Elevator,Element,D1010,SERVICES,Conveying,Elevators & Lifts
1307,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1308,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade motors,Motor,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1313,BSYNC,Data center energy conservation improvements,0,Improve data center efficiency,Data Center,Element,E1010,EQUIPMENT & FURNISHINGS,Equipment,Commercial Equipment
1315,BSYNC,Data center energy conservation improvements,0,Implement server virtualization,Server,Element,E1010,EQUIPMENT & FURNISHINGS,Equipment,Commercial Equipment
1316,BSYNC,Data center energy conservation improvements,0,Upgrade servers,Server,Element,E1010,EQUIPMENT & FURNISHINGS,Equipment,Commercial Equipment
1321,BSYNC,Distributed Generation,0,Install CHP/cogeneration systems,CHP,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1321,BSYNC,Distributed Generation,0,Install CHP/cogeneration systems,cogeneration,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1322,BSYNC,Distributed Generation,0,Install fuel cells,Fuel cell,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1323,BSYNC,Distributed Generation,0,Install microturbines,Microturbine,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1329,BSYNC,Electrical Peak Shaving/Load Shifting,0,Install thermal energy storage,Thermal energy storage,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1335,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy service billing and meter auditing recommendations,Meter,Element,D5010,SERVICES,Electrical,Electrical Service & Distribution
1338,BSYNC,Energy/Utility Distribution Systems,0,Implement power factor corrections,Power factor correction,Element,D5090,SERVICES,Electrical,Other Electrical Systems
1340,BSYNC,Energy/Utility Distribution Systems,0,Upgrade transformers,Transformer,Element,D5010,SERVICES,Electrical,Electrical Service & Distribution
1353,BSYNC,Lighting Improvements,0,Retrofit with CFLs,CFL,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1354,BSYNC,Lighting Improvements,0,Retrofit with T-5,T 5,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1355,BSYNC,Lighting Improvements,0,Retrofit with T-8,T 8,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1358,BSYNC,Lighting Improvements,0,Retrofit with light emitting diode technologies,light emitting diode,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1359,BSYNC,Lighting Improvements,0,Add daylight controls,Daylight control,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1359,BSYNC,Lighting Improvements,0,Add daylight controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1360,BSYNC,Lighting Improvements,0,Add occupancy sensors,occupancy,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1361,BSYNC,Lighting Improvements,0,Install photocell control,photocell,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1363,BSYNC,Lighting Improvements,0,Replace diffusers,Diffuser,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1364,BSYNC,Lighting Improvements,0,Upgrade exit signs to LED,LED,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1370,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add drive controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,VSD,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,Motor,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1377,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace or modify AHU,AHU,Element,D3040,SERVICES,HVAC,Distribution Systems
1378,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve distribution fans,Fan,Element,D3040,SERVICES,HVAC,Distribution Systems
1379,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve ventilation fans,Fan,Element,D3040,SERVICES,HVAC,Distribution Systems
1380,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Convert CV system to VAV system,VAV,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
1381,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair leaks / seal ducts,Duct,Element,D3040,SERVICES,HVAC,Distribution Systems
1382,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add duct insulation,Duct,Element,D3040,SERVICES,HVAC,Distribution Systems
1382,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add duct insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1384,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair or replace HVAC damper and controller,Damper,Element,D3040,SERVICES,HVAC,Distribution Systems
1385,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace burner,Burner,Element,D3020,SERVICES,HVAC,Heat Generating Systems
1387,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace packaged terminal units,Packaged terminal unit,Element,D3050,SERVICES,HVAC,Terminal & Package Units
1387,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace packaged terminal units,Terminal unit,Element,D3040,SERVICES,HVAC,Distribution Systems
1389,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace AC and heating units with ground coupled heat pump systems,Heat pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1389,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace AC and heating units with ground coupled heat pump systems,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1392,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or repair economizer,Economizer,Element,D3040,SERVICES,HVAC,Distribution Systems
1393,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add energy recovery,Energy recovery,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1394,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or replace cooling tower,Cooling tower,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
1395,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install thermal destratification fans,Fan,Element,D3040,SERVICES,HVAC,Distribution Systems
1396,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install demand control ventilation,demand control,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
1398,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install air source heat pump,Heat pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1398,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install air source heat pump,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1399,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install variable refrigerant flow system,Variable refrigerant flow,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
1399,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install variable refrigerant flow system,Refrigerant,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1400,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Capture and return condensate,Return,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
1410,BSYNC,Appliance and plug-load reductions,0,Replace with ENERGY STAR rated,ENERGY STAR,Descriptor,X0000,Unassigned,Unassigned,Unassigned
1411,BSYNC,Appliance and plug-load reductions,0,Install plug load controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1412,BSYNC,Appliance and plug-load reductions,0,Automatic shutdown or sleep mode for computers,Computer,Element,E1010,EQUIPMENT & FURNISHINGS,Equipment,Commercial Equipment
1413,BSYNC,Appliance and plug-load reductions,0,De-lamp vending machines,Lamp,Element,D5020,SERVICES,Electrical,Lighting and Branch Wiring
1413,BSYNC,Appliance and plug-load reductions,0,De-lamp vending machines,Vending Machine,Element,E1010,EQUIPMENT & FURNISHINGS,Equipment,Commercial Equipment
1414,BSYNC,Appliance and plug-load reductions,0,Replace clothes dryers,Clothes dryer,Element,E1090,EQUIPMENT & FURNISHINGS,Equipment,Other Equipment
1415,BSYNC,Appliance and plug-load reductions,0,Replace washing machines,washing machine,Element,E1090,EQUIPMENT & FURNISHINGS,Equipment,Other Equipment
1420,BSYNC,Refrigeration,0,Replace ice/refrigeration equipment with high efficiency units,Equipment,Element,E10,EQUIPMENT & FURNISHINGS,Equipment,Unassigned
1421,BSYNC,Refrigeration,0,Replace air-cooled ice/refrigeration equipment,air cooled,Descriptor,D3030,SERVICES,HVAC,Cooling Generating Systems
1421,BSYNC,Refrigeration,0,Replace air-cooled ice/refrigeration equipment,Equipment,Element,E10,EQUIPMENT & FURNISHINGS,Equipment,Unassigned
1422,BSYNC,Refrigeration,0,Replace refrigerators,Refrigerator,Element,E1090,EQUIPMENT & FURNISHINGS,Equipment,Other Equipment
1428,BSYNC,Renewable Energy Systems,0,Install photovoltaic system,Photovoltaic,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1429,BSYNC,Renewable Energy Systems,0,Install wind energy system,Wind,Descriptor,D3010,SERVICES,HVAC,Energy Supply
1435,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Decrease SHW temperature,SHW,Element,D2020,SERVICES,Plumbing,Domestic Water Distribution
1436,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install SHW controls,SHW,Element,D2020,SERVICES,Plumbing,Domestic Water Distribution
1436,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install SHW controls,controls,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
1437,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install solar thermal SHW,Solar thermal,Descriptor,D3010,SERVICES,HVAC,Energy Supply
