eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
1237,BSYNC,Advanced Metering Systems,0,Install advanced metering systems,Meter,Element,D5010,D5010,1
1238,BSYNC,Advanced Metering Systems,0,Clean and/or repair,NA,NA,NA,D5010,0
1239,BSYNC,Advanced Metering Systems,0,Implement training and/or documentation,NA,NA,NA,D5010,0
1240,BSYNC,Advanced Metering Systems,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D5010,0
1241,BSYNC,Advanced Metering Systems,0,Other,NA,NA,NA,D5010,0
1242,BSYNC,Boiler Plant Improvements,0,Replace boiler,Boiler,Element,D3020,D3020,1
1243,BSYNC,Boiler Plant Improvements,0,Replace burner,Burner,Element,D3020,D3020,1
1244,BSYNC,Boiler Plant Improvements,0,Decentralize boiler,Boiler,Element,D3020,D3020,1
1245,BSYNC,Boiler Plant Improvements,0,Insulate boiler room,Boiler,Element,D3020,D3020,1
1246,BSYNC,Boiler Plant Improvements,0,Add energy recovery,Energy recovery,Descriptor,X0000,D3020,0
1247,BSYNC,Boiler Plant Improvements,0,Convert gas-fired unit to boiler loop,Boiler,Element,D3020,D3020,1
1248,BSYNC,Boiler Plant Improvements,0,Convert system from steam to hot water,Steam,Descriptor,X0000,D3020,0
1248,BSYNC,Boiler Plant Improvements,0,Convert system from steam to hot water,Hot water,Descriptor,X0000,D3020,0
1249,BSYNC,Boiler Plant Improvements,0,Clean and/or repair,NA,NA,NA,D3020,0
1250,BSYNC,Boiler Plant Improvements,0,Implement training and/or documentation,NA,NA,NA,D3020,0
1251,BSYNC,Boiler Plant Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3020,0
1252,BSYNC,Boiler Plant Improvements,0,Convert to Cleaner Fuels,NA,NA,NA,D3020,0
1253,BSYNC,Boiler Plant Improvements,0,Other,NA,NA,NA,D3020,0
1254,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add heat recovery,Heat recovery,Descriptor,X0000,D3060,0
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,BAS,Element,D3060,D3060,1
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,EMS,Element,D3060,D3060,1
1255,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade BAS/EMS/EMCS,EMCS,Element,D3060,D3060,1
1256,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Add or upgrade controls,controls,Element,D3060,D3060,1
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,Pneumatic,Descriptor,D3060,D3060,1
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,controls,Element,D3060,D3060,1
1257,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Convert pneumatic controls to DDC,DDC,Descriptor,D3060,D3060,1
1258,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3060,0
1259,BSYNC,Building Automation Systems/Energy Management Control Systems (EMCS),0,Other,NA,NA,NA,D3060,0
1260,BSYNC,Building Envelope Modifications,0,Air seal envelope,envelope,Element,B,B,1
1261,BSYNC,Building Envelope Modifications,0,Increase wall insulation,Insulation,Descriptor,X0000,B2010,0
1262,BSYNC,Building Envelope Modifications,0,Insulate thermal bypasses,NA,NA,NA,B,0
1263,BSYNC,Building Envelope Modifications,0,Increase ceiling insulation,ceiling,Element,C3030,C3030,1
1263,BSYNC,Building Envelope Modifications,0,Increase ceiling insulation,Insulation,Descriptor,X0000,C3030,0
1264,BSYNC,Building Envelope Modifications,0,Increase roof insulation,Roof,Element,B3010,B3010,1
1264,BSYNC,Building Envelope Modifications,0,Increase roof insulation,Insulation,Descriptor,X0000,B3010,0
1265,BSYNC,Building Envelope Modifications,0,Insulate attic hatch / stair box,NA,NA,NA,C1020,0
1266,BSYNC,Building Envelope Modifications,0,Add attic/knee wall insulation,Insulation,Descriptor,X0000,C1010,0
1267,BSYNC,Building Envelope Modifications,0,Install cool/green roof,Green roof,Descriptor,B3010,B3010,1
1267,BSYNC,Building Envelope Modifications,0,Install cool/green roof,Roof,Element,B3010,B3010,1
1268,BSYNC,Building Envelope Modifications,0,Add shading devices,NA,NA,NA,B2010,0
1269,BSYNC,Building Envelope Modifications,0,Add window films,Wind,Descriptor,D3010,B2020,0
1270,BSYNC,Building Envelope Modifications,0,Install or replace solar screens,screen,Element,B2010,B2010,1
1271,BSYNC,Building Envelope Modifications,0,Replace glazing,NA,NA,NA,B2020,0
1272,BSYNC,Building Envelope Modifications,0,Replace windows,Wind,Descriptor,D3010,B2020,0
1273,BSYNC,Building Envelope Modifications,0,Increase floor insulation,Floor,Element,B1010,B1010,1
1273,BSYNC,Building Envelope Modifications,0,Increase floor insulation,Insulation,Descriptor,X0000,B1010,0
1274,BSYNC,Building Envelope Modifications,0,Insulate foundation,NA,NA,NA,A1010,0
1275,BSYNC,Building Envelope Modifications,0,Clean and/or repair,NA,NA,NA,B,0
1276,BSYNC,Building Envelope Modifications,0,Close elevator and/or stairwell shaft vents,Elevator,Element,D1010,B3020,0
1277,BSYNC,Building Envelope Modifications,0,Other,NA,NA,NA,B,0
1278,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add pipe insulation,Pipe,Descriptor,X0000,D3040,0
1278,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add pipe insulation,Insulation,Descriptor,X0000,D3040,0
1279,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Repair and/or replace steam traps,Steam,Descriptor,X0000,D3040,0
1280,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Retrofit and replace chiller plant pumping, piping, and controls",Chiller,Element,D3030,D3030,1
