eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_level_1,uni_level_2,uni_level_3
10,1651RP,Daylighting,Passive,High ceilings,ceiling,Element,C3030,INTERIORS,Interior Finishes,Ceiling Finishes
24,1651RP,Daylighting,Passive,Use of interzone luminous ceilings,ceiling,Element,C3030,INTERIORS,Interior Finishes,Ceiling Finishes
35,1651RP,Envelope,Fenestration,Heat absorbing blinds,blind,Element,E2010,EQUIPMENT & FURNISHINGS,Furnishings,Fixed Furnishings
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,manual,Descriptor,X0000,Unassigned,Unassigned,Unassigned
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,Wind,Descriptor,D3010,SERVICES,HVAC,Energy Supply
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,shade,Element,E2010,EQUIPMENT & FURNISHINGS,Furnishings,Fixed Furnishings
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration,Air barrier,Descriptor,B2010,SHELL,Exterior Enclosure,Exterior Walls
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration,infiltration,Descriptor,X0000,Unassigned,Unassigned,Unassigned
69,1651RP,Envelope,Opaque,Dynamic Wall Insulation,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
120,1651RP,HVAC,Control,Optimize multiple chiller sequencing.,Chiller,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Reset,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Supply,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Supply hot water temperature,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Hot water,Descriptor,X0000,Unassigned,Unassigned,Unassigned
132,1651RP,HVAC,Control,Thermostat setback/setup,Thermostat,Element,D3060,SERVICES,HVAC,Controls & Instrumentation
132,1651RP,HVAC,Control,Thermostat setback/setup,Setback,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Pipe,Descriptor,X0000,Unassigned,Unassigned,Unassigned
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Insulation,Descriptor,X0000,Unassigned,Unassigned,Unassigned
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Return,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Boiler,Element,D3020,SERVICES,HVAC,Heat Generating Systems
173,1651RP,HVAC,Distribution Pressure Drop,High Performance Diffusers,Diffuser,Descriptor,X0000,Unassigned,Unassigned,Unassigned
179,1651RP,HVAC,Distribution Pressure Drop,Piping Connectors for Reduced Static Pressure,Static pressure,Descriptor,D3060,SERVICES,HVAC,Controls & Instrumentation
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners,Electronic,Descriptor,D5020,SERVICES,Electrical,Lighting and Branch Wiring
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners,Burner,Element,D3020,SERVICES,HVAC,Heat Generating Systems
209,1651RP,HVAC,System,Absorption chillers,Absorption chiller,Descriptor,D3030,SERVICES,HVAC,Cooling Generating Systems
209,1651RP,HVAC,System,Absorption chillers,Chiller,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps,Heat pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps,Pump,Descriptor,X0000,Unassigned,Unassigned,Unassigned
342,1651RP,Internal Load,Equipment,High performance motors,Motor,Descriptor,X0000,Unassigned,Unassigned,Unassigned
537,BEQ,HVAC System,0,"In humid climates, supply air with a temperature above the dew point to prevent condensation on cold surfaces.",Supply,Descriptor,D3040,SERVICES,HVAC,Distribution Systems
585,BEQ,Refrigeration,0,Install high specific-efficiency (Btu/W) condensers. E,Condenser,Element,D3030,SERVICES,HVAC,Cooling Generating Systems
