eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
10,1651RP,Daylighting,Passive,High ceilings,ceiling,Element,C3030,C3030,1
24,1651RP,Daylighting,Passive,Use of interzone luminous ceilings,ceiling,Element,C3030,C3030,1
35,1651RP,Envelope,Fenestration,Heat absorbing blinds,blind,Element,E2010,E2010,1
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,manual,Descriptor,X0000,E2010,0
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,Wind,Descriptor,D3010,E2010,0
36,1651RP,Envelope,Fenestration,Manual Internal Window shades,shade,Element,E2010,E2010,1
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration,Air barrier,Descriptor,B2010,B,0
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration,infiltration,Descriptor,X0000,B,0
69,1651RP,Envelope,Opaque,Dynamic Wall Insulation,Insulation,Descriptor,X0000,B2010,0
73,1651RP,Envelope,Opaque,High-speed doors between heated/cooled building space and unconditioned space in the areas with high-traffic,NA,NA,NA,C1020,0
80,1651RP,Envelope,Opaque,large reservoirs of water for thermal mass within zone,NA,NA,NA,B,0
120,1651RP,HVAC,Control,Optimize multiple chiller sequencing.,Chiller,Element,D3030,D3060,0
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Reset,Descriptor,D3060,D3060,1
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Supply,Descriptor,D3040,D3060,0
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Supply hot water temperature,Descriptor,D3060,D3060,1
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature,Hot water,Descriptor,X0000,D3060,0
132,1651RP,HVAC,Control,Thermostat setback/setup,Thermostat,Element,D3060,D3060,1
132,1651RP,HVAC,Control,Thermostat setback/setup,Setback,Descriptor,D3060,D3060,1
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Pipe,Descriptor,X0000,D3040,0
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Insulation,Descriptor,X0000,D3040,0
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Return,Descriptor,D3040,D3040,1
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler,Boiler,Element,D3020,D3040,0
173,1651RP,HVAC,Distribution Pressure Drop,High Performance Diffusers,Diffuser,Descriptor,X0000,D3040,0
179,1651RP,HVAC,Distribution Pressure Drop,Piping Connectors for Reduced Static Pressure,Static pressure,Descriptor,D3060,D3040,0
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners,Electronic,Descriptor,D5020,D3020,0
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners,Burner,Element,D3020,D3020,1
209,1651RP,HVAC,System,Absorption chillers,Absorption chiller,Descriptor,D3030,D3030,1
209,1651RP,HVAC,System,Absorption chillers,Chiller,Element,D3030,D3030,1
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps,Heat pump,Descriptor,X0000,D3050,0
